name,class,age_group,climbing,tire_swing,swings_preschool_seats,swings_belt_seats,slides,see_saw,sand_box,hopscotch,playhouse,spring_toy,other,fencing,accessible,open,modified_date,created_date,parkname,parkaddress
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-28 11:21:48 AM,,Glenmanor Park,"33 Glenmanor Drive, Nepean"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,yes,no,unknown,2022-Mar-28 12:00:02 PM,,Gospel Oak Park,"55 Gospel Oak Drive, Nepean"
play area,play area, ,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:21 PM,,Porcupine Park,"142 Porcupine Trail, West Carleton"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Senator Eugene Forsey Park,"964 Bronson Avenue, Ottawa"
play area,play area, ,yes,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Vernon Park,"7814 Lawrence Street, Osgoode"
play area,play area,junior,no,no,no,no,no,yes,no,no,no,no,yes,no,no,unknown,2018-Jan-18 2:55:24 PM,,Walter Upton-Collins Park,"894 River Road, Gloucester"
play structure,tire swing,senior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2022-Feb-16 2:27:52 PM,,Echo Park,"6698 Marina Drive, Rideau"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,no,no,yes,no,unknown,2018-Jan-18 2:55:24 PM,,Tanmount Park,"283 Goldridge Drive, Kanata"
play area,mixed,all,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,unknown,2022-Feb-16 2:29:53 PM,,Echo Park,"6698 Marina Drive, Rideau"
play structure,play structure,junior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2022-Feb-16 2:37:32 PM,,Echowoods Park,"66 Lloydalex Crescent, Goulbourn"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:28 PM,,Stinson Park,"80 Queensbury Drive, Nepean"
play structure,mixed,junior,no,yes,no,no,yes,no,no,no,no,no,no,no,no,unknown,2021-Nov-19 12:57:42 PM,,Brucelands Park,"2960 Baseline Road, Nepean"
play area,play area,junior,no,no,no,no,no,no,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:28 PM,,Stewart Martin Park,"2552 Market Street, Cumberland"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:28 PM,,Thornecliffe Park,"45 Provender Avenue, Ottawa"
play area,play area,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:28 PM,,Scala Park,"797 Scala Avenue, Cumberland"
play area,sandbox,junior,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,2021-Nov-19 11:16:30 AM,2017-Sep-20 9:57:29 AM,Broughton Park,"150 Battersea Crescent, Kanata"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:18 PM,,Sue Nickerson Park,"88 Knudson Drive, Kanata"
play structure,play structure,toddler,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,unknown,2021-Nov-19 2:09:39 PM,,Bruff Park,"250 Lorry Greenberg Drive, Ottawa"
play area,mixed,junior,unknown,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,unknown,2022-Mar-28 1:35:22 PM,,Gowrie Park,"7 Gowrie Drive, Kanata"
play area,play area,junior,no,no,no,no,yes,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:18 PM,,Strathcona Park,"25 Range Road, Ottawa"
play area,mixed,junior,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,unknown,2022-Mar-28 11:44:55 AM,,Golflinks Park,"50 Golflinks Drive, Nepean"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:18 PM,,Presland Park,"368 Presland Road, Ottawa"
play structure,swing,toddler,no,no,yes,unknown,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-28 1:49:44 PM,,Grammercy Park,"177 Whitestone Drive, Ottawa"
play area,mixed,junior,yes,no,no,no,no,no,no,no,no,no,yes,no,no,unknown,2022-Mar-28 1:51:26 PM,,Grammercy Park,"177 Whitestone Drive, Ottawa"
play structure,play structure,junior,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2022-Mar-28 2:24:30 PM,2016-Jun-22 3:44:25 PM,Grandeur Park,"2915 Haughton Avenue, Ottawa"
play structure,swing,all,no,unknown,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-19 2:30:05 PM,,Allenby Park,7 Allenby Road
play area,mixed,senior,yes,no,no,no,yes,no,no,no,unknown,no,yes,no,yes,unknown,2021-Nov-19 4:16:19 PM,,Butterfly Park,"711 Long Point Circle, Gloucester"
play structure,tire swing,junior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-19 3:56:01 PM,,Burnford Park,"28 Glencoe Street, Nepean"
play area,swing,junior,unknown,unknown,unknown,no,no,no,no,no,no,no,yes,no,no,unknown,2021-Nov-01 1:32:00 PM,,Brewer Park,"100 Brewer Way, Ottawa"
play area,swing,junior,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,unknown,2021-Nov-01 1:59:11 PM,,Brewer Park,"100 Brewer Way, Ottawa"
